nid,categorie,titre,informations,contenu,lat,long,loc_x,loc_y,uuid
103,"Art public","Inukshuk, Jusipi Nalukturuk","Inukshuk, 1992
Jusipi Nalukturuk
Sculpture (pierre, ciment)
Musée McCord
690, rue Sherbrooke Ouest, Montréal, H3A 1E9","Sculpture (pierre, ciment), 1992
Musée McCord
690, rue Sherbrooke Ouest, Montréal (Québec) H3A 1E9
Description de l’œuvre
Avec cette installation l’artiste inuk Jusipi Nalukturuk parle de mémoire ancestrale. Une extension du mot inuk, homme, inukshuk signifie littéralement « qui agit à la place de l’homme ». De formes et de tailles variées, les inuksuit (pluriel d’inukshuk) sont constitués d’un empilement de pierres non taillées. Tantôt guide, tantôt repère ou marqueur, ces messagers se retrouvent par centaines sur tous les territoires habités par les peuples inuit. Celui-ci, de forme anthropomorphique, est composé de quelque 200 pierres et a d’abord été construit sur l’ile de Naqsaluk, au large d’Inukjuak au Nunavik.
Hyperlien : https://artpublicmontreal.ca/oeuvre/inukshuk/
",45.504568,-73.5736,299048.6,5040518.9,"5bde3cd6-d4b6-4587-ab86-e24e34e4f58b"
104,"Art public","Art public au campus McGill","Près d’une vingtaine d’œuvres d’art public sont à découvrir sur le campus de l’Université McGill.
Image : La fontaine des trois nus (1913), de Gertrude Vanderbilt Whitney
817, rue Sherbrooke Ouest, Montréal, QC H3A 0C3","Près d’une vingtaine d’œuvres d’art public sont à découvrir sur le campus de l’Université McGill.
Image : La fontaine des trois nus (1913), de Gertrude Vanderbilt Whitney
817, rue Sherbrooke Ouest, Montréal (Québec) H3A 0C3
L’Université McGill a commencé à collectionner des œuvres d’art dans les années 1830, peu après sa fondation. Aujourd’hui, plus de 2 000 œuvres sont exposées sur ses deux campus. Elles ornent les espaces extérieurs publics, les corridors, les salles de classe et les bureaux administratifs, rehaussant de leur beauté les lieux d’enseignement, de recherche et de travail que fréquentent les professeurs, les employés, les étudiants et les visiteurs. Par ailleurs, cette collection se veut un laboratoire de formation pour les étudiants en histoire de l’art et en conservation, leur permettant d’acquérir une expérience pratique en catalogage et en recherche sous l’égide de muséologues professionnels.
Hyperlien : https://artpublicmontreal.ca/partenaire/universite_mcgill/
",45.504673,-73.576396,298830.1,5040530.8,"6ad9d123-f679-40be-bad1-a425ae836145"
1,"Paysages urbains","Jeanne Mance, Paul de Chomedey de Maisonneuve et le lieu de fondation de Montréal","C’est en 1642, au confluent de la petite rivière Saint-Pierre et du fleuve Saint-Laurent, que Jeanne Mance et Paul Chomedey de Maisonneuve ont fondé Montréal. Mais ils n’étaient pas les premiers à y mettre les pieds!","Le 17 mai 1642, au confluent de la petite rivière Saint-Pierre et du fleuve Saint-Laurent, Jeanne Mance et Paul Chomedey de Maisonneuve, accompagnés d’un petit groupe de colons, fondent Montréal avec la construction du fort de Ville-Marie. Ils n’étaient pas les premiers à y mettre les pieds : des artéfacts découverts sur le site établissent que les Amérindiens y vivaient déjà plusieurs milliers d’années auparavant. Samuel de Champlain a aussi, le temps d’un été, séjourné à Montréal avant sa fondation officielle. Il y a alors créé la place Royale.
",45.5028589,-73.5537444,300600.1,5040327.8,"719041d4-736f-44fb-adb3-488a9cd71133"
57,"Paysages urbains","L’ancienne rivière Saint-Pierre et le collecteur William","Au début du 19e siècle, la rivière Saint-Pierre n’est plus le cours d’eau que Samuel de Champlain décrit avantageusement dans ses récits. C’est un égout à ciel ouvert, véritable vecteur d’épidémies.","Au début du 19e siècle, la rivière Saint-Pierre n’est plus le cours d’eau que Samuel de Champlain décrit avantageusement dans ses récits. C’est un égout à ciel ouvert, véritable vecteur d’épidémies. Sous la pression de la population montréalaise et des médecins, l’administration municipale enfouit la rivière et construit, entre 1832 et 1838, le collecteur William, d’après le nom de l’ingénieur qui le conçoit. C’est le premier système d’égout de Montréal. Aujourd’hui, bien que la rivière n’y coule plus, le collecteur William est encore présent sous nos pieds. Une partie de cette remarquable œuvre d’ingénierie peut être observée à Pointe-à-Callière, cité d’archéologie et d’histoire de Montréal, et l’aménagement de la place D’Youville permet d’en imaginer le tracé.
",45.5026577,-73.5546041,300532.9,5040305.5,"f3aaf6e0-ee32-4b4c-a52b-00bda804caab"
58,"Paysages urbains","La Pointe-à-Callière et le fort de Ville-Marie","La Pointe-à-Callière, d’où l’appellation du Musée, formait à l’époque une langue de terre parfaite pour l’accostage des bateaux. ","La Pointe-à-Callière, d’où l’appellation du Musée, forme à l’époque une langue de terre parfaite pour l’accostage des bateaux. C’est d’ailleurs cette caractéristique qui en faisait le lieu idéal pour l’établissement du fort de Ville-Marie de 1642 à 1665. Vers 1695, le gouverneur de Montréal, Louis-Hector de Callière, choisit le site afin d’y édifier son château. Celui-ci sera détruit par les flammes lors de l’incendie de 1765. Plus d’un siècle plus tard, la Royal Insurance Company fait l’acquisition de la Pointe et y construit un édifice prestigieux qui fera également office de douane lorsqu’il est acheté par le gouvernement du Canada en 1871. Ravagé à son tour par le feu en 1947, le bâtiment a inspiré l’architecte Dan Hanganu dans la conception du pavillon de l’Éperon du Musée d’archéologie et d’histoire de Montréal en 1992, aujourd’hui mieux connu sous le nom de musée Pointe-à-Callière. La tour imposante de ce musée fait office de véritable phare au cœur du Vieux-Montréal, invitant les visiteurs à découvrir les artéfacts datant des différentes périodes d’occupation du site.
",45.5028222,-73.5540515,300576.1,5040323.7,"0cb1f023-8020-4f19-8fc0-fb04805d441b"
2,"Paysages urbains","Le canal de Lachine et les écluses","L’ouverture du canal de Lachine, en 1825, permet aux navires de contourner les rapides du même nom, transformant Montréal en une plaque tournante du développement industriel en Amérique du Nord.","L’ouverture du canal de Lachine, en 1825, permet aux navires de contourner les rapides du même nom, transformant Montréal en une plaque tournante du développement industriel en Amérique du Nord.
Déjà, au 17e siècle, les Sulpiciens, seigneurs de l’île, avaient entrepris sans succès de creuser ce canal. Mais l’idée persiste et est reprise par le gouvernement fédéral dans les années 1820. Au cours des différentes phases de construction du canal, des centaines d’ouvriers, majoritairement d’origine irlandaise, y travailleront, et ce, dans des conditions parfois exécrables. Plusieurs d’entre eux s’établiront en bordure du canal, fondant ainsi de nouveaux quartiers, tel Griffintown. De nombreuses industries se développeront aussi sur ses berges, attirées par l’énergie hydraulique et les possibilités sur le plan du transport.

L’ouverture de la voie maritime du Saint-Laurent, en 1959, déclassera le canal de Lachine. Au cours des années 1990, il sera rouvert à la navigation de plaisance. Plusieurs secteurs y seront aménagés, comme l’entrée du canal située dans le Vieux-Port.
 
",45.498722,-73.5523456,300709.1,5039868,"c7f5818c-52f4-49d0-8765-62e8197a758e"
3,"Paysages urbains","L’aménagement du Vieux-Port","La création du Vieux-Port est un legs du 350e anniversaire de Montréal. Ce grand parc urbain, ancré dans l’histoire du lieu, est né d’une volonté de réappropriation du fleuve par les citoyens.","La création du Vieux-Port est un legs du 350e anniversaire de Montréal. Ce grand parc urbain, ancré dans l’histoire du lieu, est né d’une volonté de réappropriation du fleuve par les citoyens.

En 1977, le gouvernement canadien annonce son intention de réaménager la vieille section du port de Montréal. Entre 1978 et 1985, après la création de la Société du Vieux-Port de Montréal et la tenue de consultations publiques, la tour de l’Horloge est rénovée, le silo no 1 est démoli et un parc linéaire est aménagé le long de la rue de la Commune.

Puis, en 1987, un nouveau plan est mis en œuvre afin de favoriser la réappropriation des lieux par les citoyens. Au programme : l’aménagement du bassin Bonsecours, du quai Jacques-Cartier et d’une grande promenade verte le long du fleuve. Le nouveau Vieux-Port de Montréal est inauguré en 1992, à l’occasion du 350e anniversaire de la Ville.

De nombreux prix couronneront ce projet dont les objectifs étaient : l’aménagement de l’espace de telle sorte que le visiteur ressente et interprète la monumentalité, l’histoire et la raison d’être du lieu; l’organisation de l’espace de telle sorte que chaque grande composante possède son identité propre, devienne elle-même un point d’attrait et s’associe pleinement à son environnement; et la création des conditions d’aménagement permettant l’implantation graduelle de nouvelles activités à moyen et à long terme.
",45.5025149,-73.5531047,300650,5040289.5,"941a92e9-2c0d-46f1-bf17-18549ebc9544"
4,"Paysages urbains","La rue de la Commune et la transformation des berges naturelles","En 1651, Paul de Chomedey de Maisonneuve concède à Jean de Saint-Père une bande de terre en bordure du fleuve pour le pâturage des animaux. C’est à cet endroit que passe aujourd’hui la rue de la Commune.","En 1651, Paul de Chomedey de Maisonneuve concède à Jean de Saint-Père une bande de terre en bordure du fleuve pour le pâturage des animaux. Les animaux y paissent en commun, d’où le nom de commune qui désignera plus tard cette rue bien connue du Vieux-Montréal. Dès les débuts de la colonie, en raison de la croissance de la population, les colons sont de plus en plus nombreux à s’établir à l’extérieur du fort de Ville-Marie, en bordure du fleuve. Vers 1670, l’intendant de Ville-Marie décrète l’ouverture d’une voie longeant le bord de l’eau nommée le chemin de la grande rivière. Celui-ci traversera le pâturage qui sera morcelé afin de permettre le lotissement. Sous la menace iroquoise, ces nouveaux lots seront fortifiés, assurant ainsi la protection des colons.

En 1806-1807, les commissaires responsables de l’aménagement de la ville ordonnent la démolition des fortifications et aménagent la voie aux abords du fleuve, qui devient alors la rue des Commissaires. Cette rue facilite la construction des quais entre les places Royale et Jacques-Cartier et contribue, par conséquent, au commerce maritime.
À la fin du 19e siècle, les installations portuaires sont rénovées et un mur de protection est construit contre les inondations. La rue est alors élargie jusqu’à 30 mètres à certains endroits.
Afin de rappeler les débuts de la colonie, la rue des Commissaires sera renommée rue de la Commune, le 22 juin 1970.
 
",45.503217,-73.5538852,300589.1,5040367.6,"69fe24ef-0277-4eb8-963d-c8d5d1c44e63"
5,"Paysages urbains","Blanche Lemco van Ginkel et la survie du Vieux-Montréal ","Blanche Lemco van Ginkel, architecte et pionnière, fut activement impliquée dans la préservation du site historique du Vieux-Montréal. En effet, c’est grâce à son travail que l’autoroute Ville-Marie ne sera pas construite sur la rue de la Commune. ","Dans les années 1940, les femmes sont bien peu nombreuses à occuper un emploi qualifié, encore moins à obtenir un diplôme universitaire. C’est pourtant la voie choisie par la jeune Blanche Lemco qui, à 22 ans, décroche un diplôme en architecture à l’Université McGill puis un autre en aménagement à l’Université Harvard. En 1948, elle effectue un stage à l’atelier de l’architecte Le Corbusier à Paris, affirmant ainsi son intérêt pour le modernisme. Avec son mari, H. P. Daniel « Sandy » van Ginkel, elle fonde en 1957 son propre bureau. Au cours des années 1960, le couple élabore le plan directeur du Vieux-Montréal alors que la Ville projette d’y construire une autoroute. Blanche et son mari s’opposent vigoureusement à ce projet qui défigurerait complètement le quartier historique. En s’appuyant sur un solide argumentaire, ils réussissent à faire changer les plans de l’administration municipale et sauvent ainsi des dizaines de bâtiments de la démolition. L’autoroute Ville-Marie sera finalement construite plus au nord.

Pionnière canadienne, Blanche Lemco van Ginkel est l’une des premières femmes à obtenir l’agrément de l’Ordre des architectes du Canada et la première femme à être élue au conseil d’administration de l’Association des architectes paysagistes du Québec. Elle a aussi enseigné dans plusieurs universités nord-américaines, notamment Harvard, McGill et l’Université de Montréal. Elle sera également la première femme doyenne de la Faculté d’architecture et d’architecture de paysage de l’Université de Toronto.
 
",45.5034539,-73.5538718,300590.2,5040393.9,"067a4947-3c9a-427b-a754-a85bf3ccb638"
6,"Paysages urbains","Le plan des Commissaires et la rue McGill","En 1799, le Parlement présente une résolution pour démolir les fortifications entourant la ville : Montréal ne convient plus à sa vocation de poste militaire. On mandate alors des commissaires pour dresser un plan de la ville.","En 1799, le gouvernement présente une résolution pour démolir les fortifications qui entourent la ville : Montréal ne convient plus à sa vocation de poste militaire. On mandate alors des commissaires afin de dresser un plan de la ville et de ses abords, ouvrir des rues spacieuses et réserver des terres pour l’aménagement de squares publics. En 1801, l’adoption de l’Acte pour abattre les anciens Murs et Fortifications qui entourent la Cité de Montréal mène au démantèlement des fortifications et lance les opérations d’aménagement. Grâce au plan des commissaires, trois larges voies sont dégagées sur le parcours des anciennes fortifications : la rue Saint-Augustin (l’actuelle rue McGill), à l’ouest; la rue Saint-Antoine, au nord; et la rue des Commissaires (l’actuelle rue de la Commune), au sud. La rue Saint-Augustin, d’une largeur de 80 pieds, est ouverte le 22 décembre 1810. Elle deviendra une grande artère avec ses immeubles de bureaux de différents styles architecturaux.
",45.500728,-73.558445,300232.6,5040091.2,"b8a01446-91aa-479c-a0a3-e5b021d4be6f"
7,"Paysages urbains","Les pavés du Vieux-Montréal","Dans le Vieux-Montréal, le martèlement des sabots des chevaux sur la pierre nous transporte à une époque révolue. Mais il faut savoir que les rues du quartier n’ont pas toujours été recouvertes de pavés.","Le Vieux-Montréal n’a jamais été entièrement recouvert de pavés de pierre. Plusieurs types de revêtements y ont cohabité selon les périodes : terre battue, bois, macadam, cailloux, granit et autres.
À la fin du 19e siècle, la Ville procède à plusieurs tests afin de déterminer le matériau le plus approprié pour les rues, durement mises à l’épreuve par le trafic des chevaux, le déneigement et les cycles de gel et de dégel. Les pavés de granit ressortent favoris de ces études, mais ils seront déclassés par l’asphalte dans les années 1920. Celle-ci est moins coûteuse et plus facile à entretenir. Alors, les rues du Vieux-Montréal sont peu à peu recouvertes de bitume. Dans les années 1960, le Vieux-Montréal est délabré et nombre de bâtiments sont désaffectés. Un mouvement citoyen, mené notamment par le célèbre couple d’architectes montréalais van Ginkel, suscite une prise de conscience de la valeur patrimoniale et historique du site. Les rues qu’on avait asphaltées, parfois par-dessus les pavés existants, sont ramenées à leur état d’origine. On assiste alors à un retour graduel des pavés de pierre sur certains tronçons de rue du Vieux-Montréal.
",45.5019969,-73.5553055,300478,5040232.1,"94d489c3-b314-40a5-86c9-c3880641431c"
59,"Paysages urbains","Place D’Youville and the Monument aux pionniers","Place D’Youville is located along the former Petite rivière Saint-Pierre, in the axis of Fort Ville-Marie. For a long time, this informal area hosted public markets and the parliament of Canada.","Place D’Youville is located along the former Petite rivière Saint-Pierre, in the axis of Fort Ville-Marie. For a long time, this informal area hosted public markets and the parliament of Canada.
",45.5021511,-73.5548039,300517.2,5040249.2,"535913f3-1006-44f0-93b6-5aa275f3f4b4"
8,"Paysages urbains","Les fortifications et la porte des Récollets","Entre 1685 et 1804, Montréal était entourée de fortifications, initialement de bois, puis de pierre. Leur démantèlement, au début du 19e siècle, a favorisé le développement de la ville.","En 1717, sous la direction de l’ingénieur Gaspard-Joseph Chaussegros de Léry, des travaux d’envergure sont entrepris afin de construire des fortifications en pierre qui remplaceront la palissade de bois ceinturant la ville depuis 1685. Dès la fin des années 1730, la ville est entourée d’une enceinte de pierre.

À la suite de la Conquête de 1760, ces fortifications, qui n’étaient pas conçues pour résister aux attaques d’une artillerie lourde, tombent en ruine. À partir de 1789, les citoyens en réclament la démolition afin de récupérer leurs portions de terrain expropriées pour la construction des remparts. On souhaite aussi favoriser le développement de la ville. Le gouvernement répond favorablement à ces demandes. Le démantèlement des murailles s’amorce en 1804 pour se poursuivre jusqu’en 1812.

La ruelle des Fortifications est alors ouverte entre les rues McGill et Saint-Laurent, dans l’alignement du mur de la contrescarpe (le talus extérieur du fossé longeant les fortifications, en opposition à l’escarpe désignant le talus intérieur). L’œuvre d’art en acier Corten évoque l’escarpe des anciennes fortifications.
",45.5001217,-73.5567163,300367.6,5040023.7,"a57f2071-a53d-479b-a06a-d8164e444937"
